FUENTE: Ministerio de Agricultura, Pesca y Alimentación				
				
				
Alava				
				
	Comarca 01: Cantábrica			
	111	Ollauri		
	127	Rodezno		
	128	Sajazarra		
	129	San Asensio		
	130	San Millán de la Cogolla		
	131	San Millán de Yécora		
	139	San Torcuato		
	142	San Vicente de la Sonsierra		
	134	Santa Coloma		
	138	Santo Domingo de la Calzada		
	140	Santurde de Rioja		
	141	Santurdejo		
	148	Tirgo		
	150	Tormantos		
	152	Torrecilla sobre Alesanco		
	154	Torremontalbo		
	155	Treviana		
	157	Tricio		
	160	Uruñuela		
	163	Ventosa		
	166	Villalba de Rioja		
	167	Villalobar de Rioja		
	171	Villar de Torre		
	172	Villarejo		
	174	Villarta-Quintana		
	176	Villaverde de Rioja		
	180	Zarratón		
				
	Comarca 02: Sierra Rioja Alta			
				
	014	Anguiano		
	032	Brieva de Cameros		
	038	Canales de la Sierra		
	044	Castroviejo		
	061	Ezcaray		
	093	Mansilla de la Sierra		
	095	Matute		
	110	Ojacastro		
	113	Pazuengos		
	114	Pedroso		
	149	Tobía		
	162	Valgañón		
	164	Ventrosa		
	175	Villavelayo		
	178	Viniegra de Abajo		
	179	Viniegra de Arriba		
	183	Zorraquín		
				
	Comarca 03: Rioja Media			
				
	002	Agoncillo		
	005	Albelda de Iregua		
	006	Alberite		
	007	Alcanadre		
	019	Arrúbal		
	020	Ausejo		
	051	Clavijo		
	053	Corera		
	057	Daroca de Rioja		
	059	Entrena		
	064	Fuenmayor		
	066	Galilea		
	078	Hornos de Moncalvillo		
	083	Lagunilla del Jubera		
	084	Lardero		
	088	Leza de Río Leza		
	089	Logroño		
	096	Medrano		
	099	Murillo de Río Leza		
	103	Nalda		
	105	Navarrete		
	108	Ocón		
	123	Redal (El)		
	124	Ribafrecha		
	135	Santa Engracia del Jubera		
	143	Sojuela		
	144	Sorzano		
	145	Sotés		
	168	Villamediana de Iregua		
				
	Comarca 04: Sierra Rioja Media			
				
	004	Ajamil		
	012	Almarza de Cameros		
	035	Cabezón de Cameros		
	067	Gallinero de Cameros		
	077	Hornillos de Cameros		
	081	Jalón de Cameros		
	082	Laguna de Cameros		
	091	Lumbreras		
	101	Muro en Cameros		
	106	Nestares		
	107	Nieva de Cameros		
	112	Ortigosa de Cameros		
	115	Pinillos		
	118	Pradillo		
	121	Rabanera		
	122	Rasillo de Cameros (El)		
	132	San Román de Cameros		
	146	Soto en Cameros		
	147	Terroba		
	153	Torre en Cameros		
	151	Torrecilla en Cameros		
	165	Viguera		
	169	Villanueva de Cameros		
	177	Villoslada de Cameros		
				
	Comarca 05: Rioja Baja			
				
	003	Aguilar del Río Alhama		
	008	Aldeanueva de Ebro		
	011	Alfaro		
	018	Arnedo		
	021	Autol		
	028	Bergasa		
	029	Bergasillas Bajera		
	036	Calahorra		
	047	Cervera del Río Alhama		
	070	Grávalos		
	072	Herce		
	080	Igea		
	117	Pradejón		
	120	Quel		
	125	Rincón de Soto		
	136	Santa Eulalia Bajera		
	158	Tudelilla		
	170	Villar de Arnedo (El)		
	173	Villarroya		
				
	Comarca 06: Sierra Rioja Baja			
				
	017	Arnedillo		
	054	Cornago		
	058	Enciso		
	098	Munilla		
	100	Muro de Aguas		
	104	Navajún		
	119	Préjano		
	126	Robres del Castillo		
	161	Valdemadera		
	181	Zarzosa		
				
				
Lugo				
				
				
	Comarca 01: Costa			
				
	002	Alfoz		
	005	Barreiros		
	902	Burela		
	013	Cervo		
	019	Foz		
	027	Lourenzá		
	030	Mondoñedo		
	038	Ourol		
	048	Pontenova (A)		
	051	Ribadeo		
	054	Riotorto		
	061	Trabada		
	063	Valadouro (O)		
	064	Vicedo (O)		
	066	Viveiro		
	025	Xove		
				
	Comarca 02: Terra Cha			
				
	001	Abadín		
	007	Begonte		
	010	Castro de Rei		
	015	Cospeito		
	022	Guitiriz		
	029	Meira		
	033	Muras		
	044	Pastoriza (A)		
	046	Pol		
	053	Ribeira de Piquín		
	065	Vilalba		
	021	Xermade		
				
	Comarca 03: Central			
				
	003	Antas de Ulla		
	011	Castroverde		
	014	Corgo (O)		
	020	Friol		
	023	Guntín		
	024	Incio (O)		
	026	Láncara		
	028	Lugo		
	032	Monterroso		
	039	Outeiro de Rei		
	040	Palas de Rei		
	042	Paradela		
	043	Páramo (O)		
	049	Portomarín		
	056	Rábade		
	055	Samos		
	057	Sarria		
				
	Comarca 04: Montaña			
				
	004	Baleira		
	901	Baralla		
	006	Becerreá		
	012	Cervantes		
	018	Fonsagrada (A)		
	034	Navia de Suarna		
	035	Negueira de Muñiz		
	037	Nogais (As)		
	045	Pedrafita do Cebreiro		
	062	Triacastela		
				
	Comarca 05: Sur			
				
	008	Bóveda		
	009	Carballedo		
	016	Chantada		
	017	Folgoso do Courel		
	031	Monforte de Lemos		
	041	Pantón		
	047	Pobra de Brollón (A)		
	050	Quiroga		
	052	Ribas de Sil		
	058	Saviñao (O)		
	059	Sober		
	060	Taboada		
				
				
Madrid				
				
				
	Comarca 01: Lozoya Somosierra			
				
	001	Acebeda (La)		
	003	Alameda del Valle		
	016	Atazar (El)		
	021	Berrueco (El)		
	020	Berzosa del Lozoya		
	024	Braojos		
	027	Buitrago del Lozoya		
	028	Bustarviejo		
	029	Cabanillas de la Sierra		
	030	Cabrera (La)		
	034	Canencia		
	039	Cervera de Buitrago		
	062	Garganta de los Montes		
	063	Gargantilla del Lozoya		
	064	Gascones		
	067	Guadalix de la Sierra		
	069	Hiruela (La)		
	070	Horcajo de la Sierra		
	071	Horcajuelo de la Sierra		
	076	Lozoya		
	901	Lozoyuela-Navas-Sieteiglesias		
	078	Madarcos		
	085	Miraflores de la Sierra		
	086	Molar (El)		
	088	Montejo de la Sierra		
	094	Navalafuente		
	097	Navarredonda		
	107	Patones		
	108	Pedrezuela		
	112	Pinilla del Valle		
	114	Piñuécar		
	117	Prádena del Rincón		
	118	Puebla de la Sierra		
	902	Puentes Viejas		
	120	Rascafría		
	121	Redueña		
	124	Robledillo de la Jara		
	126	Robregordo		
	129	San Agustín de Guadalix		
	138	Serna del Monte (La)		
	143	Somosierra		
	144	Soto del Real		
	151	Torrelaguna		
	153	Torremocha de Jarama		
	158	Valdemanco		
	168	Vellón (El)		
	169	Venturada		
	182	Villavieja del Lozoya		
				
	Comarca 02: Guadarrama			
				
	010	Alpedrete		
	018	Becerril de la Sierra		
	023	Boalo (El)		
	038	Cercedilla		
	046	Collado Mediano		
	047	Collado Villalba		
	054	Escorial (El)		
	056	Fresnedillas de la Oliva		
	061	Galapagar		
	068	Guadarrama		
	072	Hoyo de Manzanares		
	082	Manzanares el Real		
	087	Molinos (Los)		
	090	Moralzarzal		
	093	Navacerrada		
	125	Robledo de Chavela		
	131	San Lorenzo de El Escorial		
	135	Santa María de la Alameda		
	152	Torrelodones		
	159	Valdemaqueda		
	183	Zarzalejo		
				
	Comarca 03: Area Metropolitana de Madrid			
				
	006	Alcobendas		
	007	Alcorcón		
	022	Boadilla del Monte		
	026	Brunete		
	045	Colmenar Viejo		
	049	Coslada		
	065	Getafe		
	074	Leganés		
	079	Madrid		
	080	Majadahonda		
	084	Mejorada del Campo		
	104	Paracuellos de Jarama		
	113	Pinto		
	115	Pozuelo de Alarcón		
	123	Rivas-Vaciamadrid		
	127	Rozas de Madrid (Las)		
	130	San Fernando de Henares		
	134	San Sebastián de los Reyes		
	148	Torrejón de Ardoz		
	903	Tres Cantos		
	167	Velilla de San Antonio		
	176	Villanueva de la Cañada		
	177	Villanueva del Pardillo		
	181	Villaviciosa de Odón		
				
	Comarca 04: Campiña			
				
	002	Ajalvir		
	005	Alcalá de Henares		
	009	Algete		
	012	Anchuelo		
	014	Arganda del Rey		
	032	Camarma de Esteruelas		
	033	Campo Real		
	041	Cobeña		
	048	Corpa		
	053	Daganzo de Arriba		
	057	Fresno de Torote		
	059	Fuente el Saz de Jarama		
	075	Loeches		
	083	Meco		
	100	Nuevo Baztán		
	101	Olmeda de las Fuentes		
	111	Pezuela de las Torres		
	116	Pozuelo del Rey		
	122	Ribatejada		
	136	Santorcaz		
	137	Santos de la Humosa (Los)		
	145	Talamanca de Jarama		
	154	Torres de la Alameda		
	156	Valdeavero		
	162	Valdeolmos-Alalpardo		
	163	Valdepiélagos		
	164	Valdetorres de Jarama		
	165	Valdilecha		
	166	Valverde de Alcalá		
	172	Villalbilla		
	179	Villar del Olmo		
				
	Comarca 05: Sur Occidental			
				
	004	Álamo (El)		
	008	Aldea del Fresno		
	015	Arroyomolinos		
	017	Batres		
	031	Cadalso de los Vidrios		
	036	Casarrubuelos		
	037	Cenicientos		
	051	Chapinería		
	042	Colmenar del Arroyo		
	044	Colmenarejo		
	050	Cubas de la Sagra		
	058	Fuenlabrada		
	066	Griñón		
	073	Humanes de Madrid		
	089	Moraleja de Enmedio		
	092	Móstoles		
	095	Navalagamella		
	096	Navalcarnero		
	099	Navas del Rey		
	106	Parla		
	109	Pelayos de la Presa		
	119	Quijorna		
	128	Rozas de Puerto Real		
	133	San Martín de Valdeiglesias		
	140	Serranillos del Valle		
	141	Sevilla la Nueva		
	149	Torrejón de la Calzada		
	150	Torrejón de Velasco		
	160	Valdemorillo		
	161	Valdemoro		
	171	Villa del Prado		
	174	Villamanta		
	175	Villamantilla		
	178	Villanueva de Perales		
				
	Comarca 06: Vegas			
				
	011	Ambite		
	013	Aranjuez		
	019	Belmonte de Tajo		
	025	Brea de Tajo		
	035	Carabaña		
	052	Chinchón		
	040	Ciempozuelos		
	043	Colmenar de Oreja		
	055	Estremera		
	060	Fuentidueña de Tajo		
	091	Morata de Tajuña		
	102	Orusco de Tajuña		
	110	Perales de Tajuña		
	132	San Martín de la Vega		
	146	Tielmes		
	147	Titulcia		
	155	Valdaracete		
	157	Valdelaguna		
	170	Villaconejos		
	173	Villamanrique de Tajo		
	180	Villarejo de Salvanés		
				
				
Málaga				
				
				
	Comarca 01: Norte o Antequera			
				
	001	Alameda		
	003	Alfarnate		
	004	Alfarnatejo		
	010	Almargen		
	015	Antequera		
	017	Archidona		
	018	Ardales		
	032	Campillos		
	035	Cañete la Real		
	039	Casabermeja		
	043	Colmenar		
	047	Cuevas Bajas		
	049	Cuevas de San Marcos		
	048	Cuevas del Becerro		
	055	Fuente de Piedra		
	059	Humilladero		
	072	Mollina		
	083	Riogordo		
	088	Sierra de Yeguas		
	089	Teba		
	095	Villanueva de Algaidas		
	098	Villanueva de Tapia		
	096	Villanueva del Rosario		
	097	Villanueva del Trabuco		
				
	Comarca 02: Serranía de Ronda			
				
	006	Algatocín		
	014	Alpandeire		
	020	Arriate		
	021	Atajate		
	022	Benadalid		
	024	Benalauría		
	028	Benaoján		
	029	Benarrabá		
	031	Burgo (El)		
	037	Cartajima		
	046	Cortes de la Frontera		
	052	Faraján		
	056	Gaucín		
	057	Genalguacil		
	060	Igualeja		
	063	Jimera de Líbar		
	064	Jubrique		
	065	Júzcar		
	074	Montejaque		
	077	Parauta		
	081	Pujerra		
	084	Ronda		
				
	Comarca 03: Centro-Sur o Guadalorce			
				
	007	Alhaurín de la Torre		
	008	Alhaurín el Grande		
	011	Almogía		
	012	Álora		
	013	Alozaina		
	023	Benahavís		
	025	Benalmádena		
	036	Carratraca		
	038	Cártama		
	040	Casarabonela		
	041	Casares		
	042	Coín		
	051	Estepona		
	054	Fuengirola		
	058	Guaro		
	061	Istán		
	067	Málaga		
	068	Manilva		
	069	Marbella		
	070	Mijas		
	073	Monda		
	076	Ojén		
	080	Pizarra		
	090	Tolox		
	901	Torremolinos		
	093	Valle de Abdalajís		
	100	Yunquera		
				
	Comarca 04: Vélez Málaga			
				
	002	Alcaucín		
	005	Algarrobo		
	009	Almáchar		
	016	Árchez		
	019	Arenas		
	026	Benamargosa		
	027	Benamocarra		
	030	Borge (El)		
	033	Canillas de Aceituno		
	034	Canillas de Albaida		
	044	Comares		
	045	Cómpeta		
	050	Cútar		
	053	Frigiliana		
	062	Iznate		
	066	Macharaviaya		
	071	Moclinejo		
	075	Nerja		
	079	Periana		
	082	Rincón de la Victoria		
	085	Salares		
	086	Sayalonga		
	087	Sedella		
	091	Torrox		
	092	Totalán		
	094	Vélez-Málaga		
	099	Viñuela		
				
				
Murcia				
				
				
	Comarca 01: Nordeste			
				
	001	Abanilla		
	020	Fortuna		
	022	Jumilla		
	043	Yecla		
				
	Comarca 02: Noroeste			
				
	012	Bullas		
	015	Caravaca de la Cruz		
	017	Cehegín		
	028	Moratalla		
				
	Comarca 03: Centro			
				
	004	Albudeite		
	014	Campos del Río		
	029	Mula		
	032	Pliego		
				
	Comarca 04: Río Segura			
				
	002	Abarán		
	005	Alcantarilla		
	007	Alguazas		
	009	Archena		
	010	Beniel		
	011	Blanca		
	013	Calasparra		
	018	Ceutí		
	019	Cieza		
	025	Lorquí		
	027	Molina de Segura		
	030	Murcia		
	031	Ojós		
	034	Ricote		
	901	Santomera		
	038	Torres de Cotillas (Las)		
	040	Ulea		
	042	Villanueva del Río Segura		
				
	Comarca 05: Suroeste y Valle Guadalentín			
				
	003	Águilas		
	006	Aledo		
	008	Alhama de Murcia		
	023	Librilla		
	024	Lorca		
	026	Mazarrón		
	033	Puerto Lumbreras		
	039	Totana		
				
	Comarca 06: Campo de Cartagena			
				
	902	Alcázares (Los)		
	016	Cartagena		
	021	Fuente Álamo de Murcia		
	035	San Javier		
	036	San Pedro del Pinatar		
	037	Torre-Pacheco		
	041	Unión (La)		
				
				
Navarra				
				
				
	Comarca 01: Nord Occidental			
				
	010	Altsasu/Alsasua		
	017	Anue		
	020	Araitz		
	025	Arakil		
	024	Arano		
	022	Arantza		
	027	Arbizu		
	031	Areso		
	037	Arruazu		
	040	Atez		
	044	Bakaiku		
	049	Basaburua		
	050	Baztan		
	137	Beintza-Labaien		
	250	Bera/Vera de Bidasoa		
	054	Bertizarana		
	055	Betelu		
	081	Donamaria		
	221	Doneztebe/Santesteban		
	087	Elgorriaga		
	090	Eratsun		
	091	Ergoiena		
	082	Etxalar		
	084	Etxarri-Aranatz		
	101	Ezcabarte		
	102	Ezkurra		
	117	Goizueta		
	259	Igantzi		
	126	Imotz		
	127	Irañeta		
	904	Irurtzun		
	129	Ituren		
	130	Iturmendi		
	138	Lakuntza		
	140	Lantz		
	144	Larraun		
	149	Leitza		
	908	Lekunberri		
	153	Lesaka		
	186	Odieta		
	187	Oitz		
	188	Olaibar		
	189	Olazti/Olazagutía		
	213	Saldías		
	226	Sunbilla		
	123	Uharte-Arakil		
	236	Ultzama		
	239	Urdazubi/Urdax		
	240	Urdiain		
	244	Urrotz		
	073	Ziordia		
	263	Zubieta		
	264	Zugarramurdi		
				
	Comarca 02: Pirineos			
				
	003	Abaurregaina/Abaurrea Alta		
	004	Abaurrepea/Abaurrea Baja		
	019	Aoiz/Agoitz		
	028	Arce/Artzi		
	033	Aria		
	034	Aribe		
	058	Auritz/Burguete		
	059	Burgui		
	071	Castillonuevo		
	092	Erro		
	095	Esparza de Salazar		
	098	Esteribar		
	093	Ezcároz		
	111	Gallués		
	112	Garaioa		
	113	Garde		
	115	Garralda		
	119	Güesa		
	256	Hiriberri/Villanueva de Aezko		
	124	Ibargoiti		
	128	Isaba/Izaba		
	132	Izagaondoa		
	133	Izalzu		
	134	Jaurrieta		
	156	Lizoáin		
	158	Lónguida		
	159	Lumbier		
	248	Luzaide/Valcarlos		
	172	Monreal		
	181	Navascués		
	185	Ochagavía		
	195	Orbaitzeta		
	196	Orbara		
	198	Oronz		
	199	Oroz-Betelu		
	211	Orreaga/Roncesvalles		
	209	Romanzado		
	210	Roncal		
	222	Sarriés		
	237	Unciti		
	241	Urraul Alto		
	242	Urraul Bajo		
	243	Urroz		
	245	Urzainqui		
	247	Uztárroz/Uztarroze		
	252	Vidángoz		
				
	Comarca 03: Cuenca de Pamplona			
				
	007	Adiós		
	016	Ansoáin		
	018	Añorbe		
	023	Aranguren		
	039	Artazu		
	901	Barañain		
	052	Belascoáin		
	905	Beriáin		
	902	Berrioplano		
	903	Berriozar		
	253	Bidaurreta		
	056	Biurrun-Olcoz		
	060	Burlada/Burlata		
	075	Ciriza		
	076	Cizur		
	083	Echarri		
	086	Egüés		
	089	Enériz		
	085	Etxauri		
	109	Galar		
	118	Goñi		
	121	Guirguillano		
	122	Huarte/Uharte		
	131	Iza		
	136	Juslapeña		
	147	Legarda		
	180	Muruzábal		
	088	Noáin (Valle de Elorz)/Noain		
	183	Obanos		
	194	Ollo		
	193	Olza		
	906	Orcoyen		
	201	Pamplona/Iruña		
	206	Puente la Reina/Gares		
	228	Tiebas-Muruarte de Reta		
	229	Tirapu		
	234	Ucar		
	246	Uterga		
	258	Villava/Atarrabia		
	262	Zabalza		
	907	Zizur Mayor/Zizur Nagusia		
				
	Comarca 04: Tierra Estella			
				
	001	Abáigar		
	002	Abárzuza		
	005	Aberin		
	008	Aguilar de Codés		
	011	Allín		
	012	Allo		
	013	Améscoa Baja		
	014	Ancín		
	021	Aranarache		
	026	Aras		
	029	Arcos (Los)		
	030	Arellano		
	035	Armañanzas		
	036	Arróniz		
	041	Ayegui		
	043	Azuelo		
	046	Barbarin		
	047	Bargota		
	061	Busto (El)		
	063	Cabredo		
	074	Cirauqui		
	079	Desojo		
	080	Dicastillo		
	096	Espronceda		
	097	Estella/Lizarra		
	099	Etayo		
	100	Eulate		
	116	Genevilla		
	120	Guesálaz		
	125	Igúzquiza		
	139	Lana		
	141	Lapoblación		
	143	Larraona		
	145	Lazagurría		
	148	Legaria		
	154	Lezáun		
	160	Luquin		
	161	Mañeru		
	162	Marañón		
	166	Mendaza		
	168	Metauten		
	170	Mirafuentes		
	174	Morentin		
	175	Mues		
	177	Murieta		
	182	Nazar		
	184	Oco		
	190	Olejua		
	200	Oteiza		
	204	Piedramillera		
	214	Salinas de Oro		
	219	Sansol		
	225	Sorlada		
	230	Torralba del Río		
	231	Torres del Río		
	251	Viana		
	255	Villamayor de Monjardín		
	257	Villatuerta		
	260	Yerri		
	265	Zúñiga		
				
	Comarca 05: Navarra Media			
				
	009	Aibar/Oibar		
	038	Artajona		
	045	Barásoain		
	051	Beire		
	053	Berbinzana		
	069	Cáseda		
	094	Eslava		
	103	Ezprogui		
	110	Gallipienzo		
	114	Garínoain		
	135	Javier		
	142	Larraga		
	146	Leache		
	150	Leoz		
	151	Lerga		
	155	Liédena		
	167	Mendigorría		
	191	Olite		
	192	Olóriz		
	197	Orísoain		
	203	Petilla de Aragón		
	205	Pitillas		
	207	Pueyo		
	212	Sada		
	217	San Martín de Unx		
	216	Sangüesa/Zangona		
	227	Tafalla		
	235	Ujué		
	238	Unzué		
	261	Yesa		
				
	Comarca 06: Ribera Alta Aragón			
				
	015	Andosilla		
	042	Azagra		
	064	Cadreita		
	065	Caparroso		
	066	Cárcar		
	067	Carcastillo		
	104	Falces		
	107	Funes		
	152	Lerín		
	157	Lodosa		
	163	Marcilla		
	164	Mélida		
	165	Mendavia		
	169	Milagro		
	171	Miranda de Arga		
	178	Murillo el Cuende		
	179	Murillo el Fruto		
	202	Peralta		
	215	San Adrián		
	220	Santacara		
	223	Sartaguda		
	224	Sesma		
	254	Villafranca		
				
	Comarca 07: Ribera Baja			
				
	006	Ablitas		
	032	Arguedas		
	048	Barillas		
	057	Buñuel		
	062	Cabanillas		
	068	Cascante		
	070	Castejón		
	072	Cintruénigo		
	077	Corella		
	078	Cortes		
	105	Fitero		
	106	Fontellas		
	108	Fustiñana		
	173	Monteagudo		
	176	Murchante		
	208	Ribaforada		
	232	Tudela		
	233	Tulebras		
	249	Valtierra		
				
				
Ourense				
				
				
	Comarca 01: Orense			
				
	001	Allariz		
	002	Amoeiro		
	003	Arnoia (A)		
	004	Avión		
	008	Barbadás		
	010	Beade		
	011	Beariz		
	013	Boborás		
	014	Bola (A)		
	018	Carballeda de Avia		
	019	Carballiño (O)		
	020	Cartelle		
	022	Castrelo de Miño		
	024	Celanova		
	025	Cenlle		
	026	Coles		
	027	Cortegada		
	031	Esgos		
	033	Gomesende		
	035	Irixo (O)		
	040	Leiro		
	045	Maside		
	046	Melón		
	047	Merca (A)		
	052	Nogueira de Ramuín		
	054	Ourense		
	055	Paderne de Allariz		
	056	Padrenda		
	058	Pereiro de Aguiar (O)		
	059	Peroxa (A)		
	061	Piñor		
	064	Pontedeva		
	065	Punxín		
	066	Quintela de Leirado		
	068	Ramirás		
	069	Ribadavia		
	074	San Amaro		
	075	San Cibrao das Viñas		
	076	San Cristovo de Cea		
	079	Taboadela		
	081	Toén		
	087	Vilamarín		
	037	Xunqueira de Espadanedo		
				
	Comarca 02: El Barco de Valdeorras			
				
	009	Barco de Valdeorras (O)		
	015	Bolo (O)		
	017	Carballeda de Valdeorras		
	023	Castro Caldelas		
	029	Chandrexa de Queixa		
	034	Gudiña (A)		
	038	Larouco		
	044	Manzaneda		
	048	Mezquita (A)		
	049	Montederramo		
	057	Parada de Sil		
	060	Petín		
	063	Pobra de Trives (A)		
	072	Rúa (A)		
	073	Rubiá		
	070	San Xoán de Río		
	080	Teixeira (A)		
	083	Veiga (A)		
	086	Viana do Bolo		
	088	Vilamartín de Valdeorras		
	092	Vilariño de Conso		
				
	Comarca 03: Verín			
				
	005	Baltar		
	006	Bande		
	007	Baños de Molgas		
	012	Blancos (Os)		
	016	Calvos de Randín		
	021	Castrelo do Val		
	028	Cualedro		
	030	Entrimo		
	039	Laza		
	041	Lobeira		
	042	Lobios		
	043	Maceda		
	050	Monterrei		
	051	Muíños		
	053	Oímbra		
	062	Porqueira		
	067	Rairiz de Veiga		
	071	Riós		
	077	Sandiás		
	078	Sarreaus		
	082	Trasmiras		
	084	Verea		
	085	Verín		
	089	Vilar de Barrio		
	090	Vilar de Santos		
	091	Vilardevós		
	032	Xinzo de Limia		
	036	Xunqueira de Ambía		
				
				
Asturias				
				
				
	Comarca 01: Vegadeo			
				
	027	Grandas de Salime		
	048	Pesoz		
	061	San Martín de Oscos		
	063	San Tirso de Abres		
	062	Santa Eulalia de Oscos		
	071	Taramundi		
	074	Vegadeo		
	075	Villanueva de Oscos		
				
	Comarca 02: Luarca			
				
	007	Boal		
	017	Castropol		
	018	Coaña		
	023	Franco (El)		
	029	Illano		
	041	Navia		
	070	Tapia de Casariego		
	034	Valdés		
	077	Villayón		
				
	Comarca 03: Cangas de Narcea			
				
	001	Allande		
	011	Cangas del Narcea		
	022	Degaña		
	028	Ibias		
	073	Tineo		
				
	Comarca 04: Grado			
				
	010	Candamo		
	021	Cudillero		
	026	Grado		
	039	Muros de Nalón		
	051	Pravia		
	059	Salas		
	069	Soto del Barco		
				
	Comarca 05: Belmonte de Miranda			
				
	005	Belmonte de Miranda		
	052	Proaza		
	053	Quirós		
	064	Santo Adriano		
	068	Somiedo		
	072	Teverga		
	078	Yernes y Tameza		
				
	Comarca 06: Gijón			
				
	004	Avilés		
	009	Cabranes		
	013	Caravia		
	014	Carreño		
	016	Castrillón		
	019	Colunga		
	020	Corvera de Asturias		
	024	Gijón		
	025	Gozón		
	030	Illas		
	076	Villaviciosa		
				
	Comarca 07: Oviedo			
				
	006	Bimenes		
	031	Langreo		
	035	Llanera		
	040	Nava		
	042	Noreña		
	044	Oviedo		
	054	Regueras (Las)		
	057	Ribera de Arriba		
	060	San Martín del Rey Aurelio		
	065	Sariego		
	066	Siero		
				
	Comarca 08: Mieres			
				
	002	Aller		
	015	Caso		
	032	Laviana		
	033	Lena		
	037	Mieres		
	038	Morcín		
	058	Riosa		
	067	Sobrescobio		
				
	Comarca 09: Llanes			
				
	036	Llanes		
	045	Parres		
	049	Piloña		
	055	Ribadedeva		
	056	Ribadesella		
				
	Comarca 10: Cangas de Onís			
				
	003	Amieva		
	008	Cabrales		
	012	Cangas de Onís		
	043	Onís		
	046	Peñamellera Alta		
	047	Peñamellera Baja		
	050	Ponga		
				
				
Palencia				
				
				
	Comarca 01: El Cerrato			
				
	006	Alba de Cerrato		
	012	Antigüedad		
	022	Baltanás		
	050	Castrillo de Don Juan		
	051	Castrillo de Onielo		
	057	Cevico de la Torre		
	058	Cevico Navero		
	060	Cobos de Cerrato		
	063	Cordovilla la Real		
	066	Cubillas de Cerrato		
	069	Dueñas		
	070	Espinosa de Cerrato		
	082	Hérmedes de Cerrato		
	084	Herrera de Valdecañas		
	086	Hontoria de Cerrato		
	087	Hornillos de Cerrato		
	098	Magaz de Pisuerga		
	121	Palenzuela		
	133	Población de Cerrato		
	141	Quintana del Puente		
	146	Reinoso de Cerrato		
	177	Soto de Cerrato		
	178	Tabanera de Cerrato		
	181	Tariego de Cerrato		
	182	Torquemada		
	186	Valbuena de Pisuerga		
	189	Valdeolmillos		
	196	Valle de Cerrato		
	023	Venta de Baños		
	201	Vertavillo		
	205	Villaconancio		
	210	Villahán		
	221	Villamediana		
	225	Villamuriel de Cerrato		
	238	Villaviudas		
	242	Villodrigo		
				
	Comarca 02: Campos			
				
	001	Abarca de Campos		
	003	Abia de las Torres		
	009	Amayuelas de Arriba		
	010	Ampudia		
	011	Amusco		
	015	Arconada		
	017	Astudillo		
	018	Autilla del Pino		
	019	Autillo de Campos		
	024	Baquerín de Campos		
	025	Bárcena de Campos		
	029	Becerril de Campos		
	031	Belmonte de Campos		
	033	Boada de Campos		
	035	Boadilla de Rioseco		
	034	Boadilla del Camino		
	042	Calzada de los Molinos		
	045	Capillas		
	046	Cardeñosa de Volpejera		
	047	Carrión de los Condes		
	048	Castil de Vela		
	052	Castrillo de Villavega		
	053	Castromocho		
	055	Cervatos de la Cueza		
	059	Cisneros		
	071	Espinosa de Villagonzalo		
	072	Frechilla		
	074	Frómista		
	076	Fuentes de Nava		
	077	Fuentes de Valdepero		
	079	Grijota		
	081	Guaza de Campos		
	088	Husillos		
	089	Itero de la Vega		
	092	Lantadilla		
	903	Loma de Ucieza		
	096	Lomas		
	099	Manquillos		
	101	Marcilla de Campos		
	102	Mazariegos		
	103	Mazuecos de Valdeginate		
	104	Melgar de Yuso		
	106	Meneses de Campos		
	108	Monzón de Campos		
	109	Moratinos		
	112	Nogal de las Huertas		
	116	Osornillo		
	901	Osorno la Mayor		
	120	Palencia		
	123	Paredes de Nava		
	125	Pedraza de Campos		
	127	Perales		
	130	Piña de Campos		
	131	Población de Arroyo		
	132	Población de Campos		
	137	Pozo de Urama		
	149	Requena de Campos		
	152	Revenga de Campos		
	155	Ribas de Campos		
	156	Riberos de la Cueza		
	159	San Cebrián de Campos		
	163	San Mamés de Campos		
	165	San Román de la Cuba		
	167	Santa Cecilia del Alcor		
	174	Santoyo		
	180	Támara de Campos		
	184	Torremormojón		
	192	Valde-Ucieza		
	902	Valle del Retortillo		
	204	Villacidaler		
	206	Villada		
	211	Villaherreros		
	213	Villalaco		
	215	Villalcázar de Sirga		
	216	Villalcón		
	217	Villalobón		
	220	Villamartín de Campos		
	224	Villamuera de la Cueza		
	227	Villanueva del Rebollar		
	230	Villarmentero de Campos		
	232	Villarramiel		
	233	Villasarracino		
	236	Villaturde		
	237	Villaumbrales		
	240	Villerías de Campos		
	241	Villodre		
	243	Villoldo		
	246	Villovieco		
				
	Comarca 03: Saldaña-Valdavia			
				
	020	Ayuela		
	037	Buenavista de Valdavia		
	038	Bustillo de la Vega		
	039	Bustillo del Páramo de Carrió		
	062	Congosto de Valdavia		
	091	Lagartos		
	094	Ledigos		
	126	Pedrosa de la Vega		
	129	Pino del Río		
	136	Poza de la Vega		
	140	Puebla de Valdavia (La)		
	143	Quintanilla de Onsoña		
	147	Renedo de la Vega		
	157	Saldaña		
	169	Santervás de la Vega		
	175	Serna (La)		
	179	Tabanera de Valdavia		
	190	Valderrábano		
	202	Villabasta de Valdavia		
	208	Villaeles de Valdavia		
	218	Villaluenga de la Vega		
	223	Villamoronta		
	228	Villanuño de Valdavia		
	231	Villarrabé		
	234	Villasila de Valdavia		
	245	Villota del Páramo		
